Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
ramen-noodle,Ramen Noodle,"A special blend of dill and mustard seeds makes these little pickled cucumbers big in flavour. Great in sandwiches, homemade tartar sauce and as an accompaniment to many dishes.",Biona,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat",,sauce,true,Title,Default Title,,,,,"",0.0,shopify,1000,deny,manual,6.80,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p48.jpg?v=1652344976,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
vegetable-soup,Vegetable Soup,"A special blend of dill and mustard seeds makes these little pickled cucumbers big in flavour. Great in sandwiches, homemade tartar sauce and as an accompaniment to many dishes.",Biona,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat",,sauce,true,Title,Default Title,,,,,"",0.0,shopify,1000,deny,manual,1.70,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p47.jpg?v=1652344917,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
pasta-4-7-oz-box,"Pasta, 4.7 oz Box","A special blend of dill and mustard seeds makes these little pickled cucumbers big in flavour. Great in sandwiches, homemade tartar sauce and as an accompaniment to many dishes.",Biona,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat",,sauce,true,Title,Default Title,,,,,"",0.0,shopify,1000,deny,manual,1.20,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p45.jpg?v=1652344774,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
caribbean-rice-6-oz,"Caribbean Rice, 6 oz","A special blend of dill and mustard seeds makes these little pickled cucumbers big in flavour. Great in sandwiches, homemade tartar sauce and as an accompaniment to many dishes.",Biona,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat",,sauce,true,Title,Default Title,,,,,,0.0,shopify,1000,deny,manual,4.20,,true,true,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p46.jpg?v=1652344688,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
microwavable-bowl-7-25-oz,"Microwavable Bowl, 7.25 Oz","A special blend of dill and mustard seeds makes these little pickled cucumbers big in flavour. Great in sandwiches, homemade tartar sauce and as an accompaniment to many dishes.",Biona,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat",,sauce,true,Title,Default Title,,,,,,0.0,shopify,1000,deny,manual,4.20,,true,true,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p44.jpg?v=1652344556,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
asparagus-10-oz-frozen,"Asparagus, 10 oz (Frozen)","A special blend of dill and mustard seeds makes these little pickled cucumbers big in flavour. Great in sandwiches, homemade tartar sauce and as an accompaniment to many dishes.",Biona,"Food, Beverages & Tobacco > Food Items > Meat, Seafood & Eggs > Meat",,sauce,true,Title,Default Title,,,,,"",0.0,shopify,1000,deny,manual,4.20,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p43.jpg?v=1652344420,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
carrots-peas,Carrots & Peas,"A special blend of dill and mustard seeds makes these little pickled cucumbers big in flavour. Great in sandwiches, homemade tartar sauce and as an accompaniment to many dishes.",Biona,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware > Saucepans,,sauce,true,Title,Default Title,,,,,,0.0,shopify,1000,deny,manual,4.90,,true,true,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p42.jpg?v=1652344219,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
rice-syrup,Rice Syrup,"A special blend of dill and mustard seeds makes these little pickled cucumbers big in flavour. Great in sandwiches, homemade tartar sauce and as an accompaniment to many dishes.",Biona,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware > Saucepans,,sauce,true,Title,Default Title,,,,,"",0.0,shopify,1000,deny,manual,4.90,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p41.jpg?v=1652344090,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
apple-banana-puree,Apple Banana Puree,"A special blend of dill and mustard seeds makes these little pickled cucumbers big in flavour. Great in sandwiches, homemade tartar sauce and as an accompaniment to many dishes.",Biona,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware > Saucepans,,sauce,true,Title,Default Title,,,,,"",0.0,shopify,1000,deny,manual,3.90,,true,true,"",https://cdn.shopify.com/s/files/1/0601/8636/2033/products/p40.jpg?v=1652344004,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
blossom-400g,Blossom 400g,"A special blend of dill and mustard seeds makes these little pickled cucumbers big in flavour. Great in sandwiches, homemade tartar sauce and as an accompaniment to many dishes.",Biona,Home & Garden > Kitchen & Dining > Cookware & Bakeware > Cookware > Saucepans,,sauce,true,Title,Default Title,,,,,,0.0,shopify,1000,deny,manual,4.90,,true,true,,https://cdn.shopify.com/s/files/1/0601/8636/2033/products/31.jpg?v=1652343865,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
